chr1	50082	50082	wt	GFP	+	chr1	4175001	4615001	4124919
chr1	719132	719132	CBX	GFP	+	chr1	4175001	4615001	3455869
chr1	804420	804420	CBX	GFP	+	chr1	4175001	4615001	3370581
chr1	1192657	1192657	W390A	GFP	+	chr1	4175001	4615001	2982344
chr1	1335488	1335488	wt	GFP	+	chr1	4175001	4615001	2839513
chr1	1641569	1641569	CBX	GFP	+	chr1	4175001	4615001	2533432
chr1	1674109	1674109	wt	GFP	+	chr1	4175001	4615001	2500892
chr1	2366531	2366531	CBX	GFP	+	chr1	4175001	4615001	1808470
chr1	2427538	2427538	wt	GFP	+	chr1	4175001	4615001	1747463
chr1	2550217	2550217	wt	GFP	+	chr1	4175001	4615001	1624784
chr1	2818333	2818333	CBX	GFP	-	chr1	4175001	4615001	1356668
chr1	3027485	3027485	W390A	GFP	-	chr1	4175001	4615001	1147516
chr1	3373280	3373280	W390A	GFP	-	chr1	4175001	4615001	801721
chr1	3663802	3663802	wt	GFP	-	chr1	4175001	4615001	511199
chr1	3895785	3895785	W390A	GFP	+	chr1	4175001	4615001	279216
chr1	4232112	4232112	wt	GFP	-	chr1	4175001	4615001	0
chr1	4283710	4283710	wt	GFP	-	chr1	4175001	4615001	0
chr1	4604164	4604164	wt	GFP	+	chr1	4175001	4615001	0
chr1	5064432	5064432	W390A	GFP	-	chr1	4740001	5460001	0
chr1	5827786	5827786	W390A	GFP	-	chr1	5525001	5685001	142785
chr1	6519714	6519714	wt	GFP	+	chr1	5525001	5685001	834713
chr1	6724025	6724025	wt	GFP	-	chr1	5525001	5685001	1039024
chr1	6865249	6865249	CBX	GFP	-	chr1	5525001	5685001	1180248
chr1	6978740	6978740	wt	GFP	-	chr1	5525001	5685001	1293739
chr1	7348334	7348334	W390A	GFP	-	chr1	5525001	5685001	1663333
chr1	7762721	7762721	wt	GFP	+	chr1	5525001	5685001	2077720
chr1	8233267	8233267	CBX	GFP	-	chr1	5525001	5685001	2548266
chr1	8969424	8969424	W390A	GFP	+	chr1	5525001	5685001	3284423
chr1	9034017	9034017	W390A	GFP	-	chr1	5525001	5685001	3349016
chr1	9190679	9190679	wt	GFP	-	chr1	5525001	5685001	3505678
chr1	9338690	9338690	CBX	GFP	+	chr1	5525001	5685001	3653689
